id,snn,medication
1,392-93-1913,Cetirizine Hydrochloride
2,427-28-1051,Dexamethasone
3,785-27-9243,Fabior
4,856-74-4076,Fire Ant
5,864-32-1182,REPAGLINIDE
6,381-91-2474,Loratadine
7,554-05-9201,Good Sense all day allergy
8,395-75-5140,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate"
9,397-04-7749,Dexamethasone
10,482-79-0364,Nimodipine
11,310-59-9391,ROPINIROLE HYDROCHLORIDE
12,565-83-8069,"Pollens - Weeds and Garden Plants, Ragweed, Giant Ambrosia trifida"
13,644-27-7298,Vivelle-Dot
14,636-26-8389,VENLAFAXINE HYDROCHLORIDE
15,460-13-3093,Moisturising Sunscreen
16,831-78-0436,Cephalexin
17,478-14-2226,Leader Fiber
18,494-09-2332,cold and cough
19,790-15-8652,ZADITOR
20,205-59-4679,ORAL-DENT
21,242-98-6851,ATIVAN
22,498-71-8737,Australian Pine Pollen
23,213-06-8011,ENALAPRIL MALEATE
24,366-74-8983,Ibuprofen
25,579-65-8212,Cough DM
26,844-68-4677,DRISTAN COLD MULTISYMPTOM
27,810-44-3037,Ciprofloxacin
28,390-14-2464,up and up childrens ibuprofen oral suspension
29,522-10-5643,Remodulin
30,763-70-6175,ibuprofen
31,858-86-7960,Erythrocin Stearate
32,477-82-9469,wal tussin cf max
33,876-87-4872,DayTime Nitetime Sinus Relief
34,138-25-5274,Up and Up Cold Flu Relief
35,801-57-4171,Potassium Chloride in Sodium Chloride
36,433-11-3550,Wheat Smut
37,193-34-3783,Primaquine Phosphate
38,203-34-4334,IPKN Moist and Firm BB 04 Medium
39,327-46-4276,Cyclivert
40,709-48-6447,Brut Blue Wave
41,522-02-5374,Crest Complete Multi-Benefit
42,363-32-0849,Fluoxetine
43,828-88-4270,Direct Safety Aspirin Free
44,892-70-7654,4 in 1 Pressed Mineral SPF 15 Light Tan
45,186-55-4724,Nortriptyline Hydrochloride
46,781-59-9760,Tetracoccosporium paxianum
47,424-52-4771,miconazole 1
48,356-27-0149,Neutrogena Rapid Clear
49,380-30-6475,Maracuja Miracle Foundation 12-Hour Foundation Broad Spectrum SPF 15 Sunscreen
50,131-79-8916,Mucus Relief
51,682-18-2386,LYZA
52,216-97-3989,Stomach Relief
53,816-88-3430,VENTOLIN
54,229-23-8788,Family Wellness Antifungal
