id,snn,medication
1,157-21-6809,Acyclovir
2,187-75-5714,Simvastatin
3,711-63-2409,Clotrimazole and Betamethasone Dipropionate
4,353-81-9148,PERFECTION LUMIERE
5,701-16-7836,Glipizide
6,553-67-3551,sinus
7,773-14-8333,Appeal Alcohol Foaming Hand Sanitizer
8,277-28-2601,ALOMIDE
9,589-45-6139,No7 Protect and Perfect Intense Day Cream SPF 15
10,645-67-2688,Topex
11,526-52-8359,Sodium Bicarbonate
12,441-56-9090,Guiafenesin
13,626-23-7144,Mexican Tea Pollen
14,385-51-0442,good neighbor pharmacy cold head congestion
15,872-45-8420,Gas Relief
16,820-53-8077,Geodon
17,100-06-4453,FRESH AFTER VACANCE BODY SOOTHING
18,249-51-3708,ABILIFY
19,539-71-0526,Alcohol
20,108-42-8206,Lithium Carbonate
21,805-09-8657,AMOREPACIFIC
22,753-31-5961,HAMSOA ATOBY MEDI
23,129-47-5702,Acetaminophen
24,865-38-9499,Citrus Burst Antibacterial Foaming Hand Wash
25,219-39-1044,Red Maple
26,456-95-9918,Diphenhydramine Hydrochloride
27,401-13-3441,LenzaPatch
28,667-76-1627,care one ibuprofen
29,100-38-0946,Galantamine
30,483-47-4659,Acitretin
31,768-16-7759,Laura Mercier Flawless Skin Daily Face Shield SPF 40
32,465-47-4546,EXTRA STRENGTH STOOL SOFTENER LAXATIVE
33,311-58-0784,Clean and Clear Advantage 3 in 1 Exfoliating
34,496-94-6655,lubricating plus
35,839-58-7392,Eve Lom Radiance Lift Foundation SPF 15
36,403-78-8448,infants acetaminophen
37,579-58-9472,Rite Aid Original Strength Vagicaine
38,355-14-7124,Oxygen
39,121-86-5220,Metamucil
40,131-94-2676,Dove
41,601-45-8832,Treatment Set TS335823
42,245-47-4626,Quality Choice Merthiolate
43,518-91-6432,DOXOrubicin Hydrochloride
44,640-72-3201,ESIKA
45,175-09-1661,KETOROLAC TROMETHAMINE
46,747-43-6276,Medicated Apricot Scrub
47,697-28-2424,Silky Finish
48,302-25-5007,Novolin
49,330-68-2751,Prevacid
50,243-85-1050,up and up antibiotic
51,228-86-5243,CHANTIX
52,389-69-1151,Escavite D
53,648-87-6831,Dove
54,877-97-5326,ENALAPRIL MALEATE
55,181-40-2334,SBS Care
56,180-98-2653,Night Relief Cough
57,425-27-3686,Cefuroxime and Dextrose
58,602-38-0749,LOreal Paris Skin Expertise Revitalift Complete
59,742-12-8014,Ciprofloxacin
60,416-32-7978,Synthroid
61,515-88-1492,Heparin Sodium
62,431-78-9238,Beef
63,184-60-4547,DOXEPIN HYDROCHLORIDE
64,615-57-9828,Apis ex animale 3 Special Order
65,656-60-6690,Dextroamphetamine Sulfate
66,337-96-7391,Fluconazole
67,366-59-9304,Levofloxacin
68,865-94-0663,Alcohol
69,737-83-8325,Bio Rock Rose
70,491-51-9557,up and up ranitidine
71,238-39-1537,BENZTROPINE MESYLATE
72,826-38-7675,Venlafaxine Hydrochloride
73,385-59-6965,Ondansetron Hydrochloride
