id,ssn,date_of_visit,cost
1,270-34-0942,10/22/2023,956385
2,554-29-5254,04/11/2021,755917
3,239-30-4051,03/02/2021,97764
4,236-24-0788,12/07/2021,35562
5,850-52-7439,01/20/2023,47010
6,559-82-6677,08/05/2021,470546
7,726-24-8374,09/29/2022,797686
8,532-93-3664,02/07/2023,38710
9,186-48-1214,07/13/2022,124425
10,888-36-3791,01/26/2022,741091
11,874-01-3996,03/17/2023,113697
12,307-15-5271,07/03/2022,13530
13,716-08-0139,09/16/2021,160916
14,273-49-1726,11/21/2022,174652
15,573-69-9037,10/26/2022,100285
16,491-34-6836,10/30/2023,324691
17,770-34-9619,08/30/2021,579364
18,807-31-3884,01/26/2022,448744
19,864-77-0814,12/10/2020,116753
20,506-91-4175,05/14/2021,149820
21,450-53-8775,03/08/2023,367080
22,450-48-1366,08/30/2023,84095
23,747-34-6566,03/22/2022,293801
24,567-07-1408,03/17/2021,294754
25,832-70-7374,07/15/2023,831137
26,226-06-3591,05/26/2023,559566
27,895-13-6381,08/22/2022,354329
28,724-35-8999,05/20/2021,138241
29,343-62-5633,05/27/2022,347615
30,273-98-6948,12/21/2020,419286
31,223-88-7391,08/19/2022,208546
32,189-22-2105,05/02/2023,766715
33,382-18-8544,10/29/2022,706540
34,755-38-4148,03/07/2021,213842
35,356-07-0814,11/04/2022,704017
36,526-33-7144,08/29/2022,594964
37,737-25-0184,05/31/2022,114692
38,206-59-0791,01/17/2023,149261
39,516-27-0420,02/03/2021,736294
40,234-58-1945,01/04/2021,445092
41,793-75-8153,08/28/2021,426510
42,570-34-5592,08/11/2021,42288
43,385-25-2286,07/25/2023,80606
44,849-82-0267,08/09/2023,834402
45,821-28-3050,11/17/2023,530175
46,451-72-5546,07/22/2021,200932
47,246-24-6227,11/15/2023,205372
48,891-99-1724,04/03/2021,20241
49,479-13-7925,02/13/2023,296180
50,337-63-8691,01/31/2021,615574
51,528-40-4202,02/26/2022,408632
52,222-95-6238,02/15/2021,894751
53,802-89-4301,04/02/2023,539425
54,796-52-5513,07/12/2023,195629
55,291-19-7635,07/31/2021,325571
56,199-91-2671,07/25/2021,236035
57,648-02-8825,03/18/2023,334865
58,353-72-2287,07/05/2022,619793
59,845-14-0959,12/23/2021,568619
60,212-58-6804,06/11/2021,26536
61,263-63-9281,11/09/2022,301761
62,221-84-8881,09/10/2022,268081
63,197-32-7796,10/05/2022,582703
64,128-81-1993,09/06/2023,805854
65,608-23-6400,05/29/2022,973821
66,879-77-5319,02/06/2022,360856
67,141-04-5168,07/28/2021,163325
68,583-78-6639,06/28/2023,617555
69,611-96-0066,06/10/2022,861227
70,890-69-2784,12/23/2020,906928
71,243-43-1031,01/01/2022,480250
72,365-24-7836,10/14/2021,114474
73,640-11-6333,05/19/2023,769751
74,333-14-9331,11/25/2021,566892
75,179-81-5334,07/17/2023,380689
76,469-84-4590,09/08/2022,42233
77,526-98-2441,02/04/2023,879003
78,165-20-8086,08/14/2023,664629
79,622-89-5304,12/25/2021,665758
80,358-30-8768,01/01/2023,994880
81,884-50-2555,06/16/2022,734441
82,681-35-1613,07/10/2021,379550
83,366-64-7246,05/29/2022,699990
84,577-20-3667,01/18/2022,253598
85,383-97-7086,05/21/2021,246518
86,280-88-5664,12/06/2022,685739
87,102-53-9097,07/03/2023,553747
88,521-91-1103,01/08/2023,834415
89,595-83-8935,01/02/2021,128992
90,876-12-1979,08/15/2023,314897
91,725-63-6026,09/03/2023,905495
92,779-37-0550,03/10/2021,18295
93,796-66-7364,07/21/2022,54502
94,850-22-0672,09/06/2021,215423
95,153-75-9783,05/04/2023,615165
96,629-66-1090,09/20/2021,397811
97,799-44-4876,12/02/2020,261256
98,424-17-5229,07/21/2022,799476
99,676-37-9126,02/08/2022,570237
100,857-63-0173,11/27/2023,687778
101,376-94-0169,07/14/2022,889642
102,306-46-2472,05/05/2022,830692
103,686-57-8770,09/11/2023,990111
104,463-59-6418,12/23/2021,519073
105,449-94-4103,12/13/2021,315742
106,365-69-2286,11/19/2021,978831
107,819-12-7132,05/19/2021,625553
108,457-90-9338,01/11/2023,744063
109,291-62-8384,05/28/2022,114593
110,225-64-7900,04/23/2022,74998
111,755-86-0078,01/21/2022,995410
112,794-56-0064,08/06/2022,759111
113,462-13-6765,06/15/2023,107331
114,868-87-6821,05/11/2023,241138
115,220-16-4494,12/12/2021,690775
116,815-44-5730,12/24/2022,350277
117,894-65-5425,06/14/2021,155820
118,832-45-3640,06/03/2021,257642
119,541-82-8376,11/08/2023,657910
120,254-48-0910,11/21/2022,561838
121,365-86-1776,01/24/2021,847591
122,754-97-2877,07/22/2021,572589
123,206-07-1077,11/23/2022,891982
124,611-94-2850,09/21/2022,297908
125,643-26-4645,02/11/2021,351510
126,825-26-4074,08/13/2021,53365
127,481-26-9458,05/18/2021,181274
128,233-01-3357,05/25/2023,606845
129,554-45-1884,12/02/2022,631814
130,288-47-0752,10/22/2022,216170
131,897-81-3276,08/14/2021,771307
132,287-92-5339,10/29/2021,250001
133,238-14-0281,06/21/2021,455291
134,599-06-6585,06/09/2023,253561
135,515-18-3034,03/04/2022,429059
136,781-23-2821,07/16/2022,588068
137,411-10-3318,09/17/2023,163913
138,163-51-2136,05/20/2021,469653
139,746-14-3735,11/11/2021,466466
140,344-48-2828,10/12/2022,856668
141,308-45-1591,09/21/2021,11439
142,124-87-4444,03/04/2021,888255
143,451-11-1366,03/25/2023,646843
144,348-44-8469,02/13/2022,645389
145,814-64-0800,11/12/2023,145752
146,153-13-4106,02/02/2023,457912
147,248-55-7412,01/06/2021,289601
148,329-23-4402,04/13/2023,268106
149,442-24-8700,02/27/2023,770654
150,208-12-8465,03/03/2023,227914
151,839-48-2548,04/06/2022,748055
152,860-78-3939,12/31/2022,68891
153,511-42-2022,09/28/2023,161623
154,668-49-3175,07/16/2021,613826
155,364-16-1882,02/23/2023,471168
156,252-95-2154,10/18/2022,697414
157,238-94-4220,11/19/2021,678784
158,276-93-6159,04/30/2021,860543
159,636-43-0545,06/05/2022,51562
160,705-74-3480,01/18/2021,7980
161,122-11-9831,02/11/2023,809182
162,179-49-7848,01/01/2022,489358
163,200-04-1543,03/25/2021,897680
164,432-87-2529,11/05/2022,311809
165,322-46-6283,08/05/2023,311069
166,555-95-4450,06/25/2023,707690
167,218-78-1944,10/04/2022,261088
168,391-54-9864,03/24/2021,340309
169,569-43-5081,09/18/2021,762379
170,510-93-7918,10/14/2021,294523
171,535-63-9280,06/19/2023,7793
172,438-47-8263,01/02/2021,889752
173,471-07-9359,05/29/2023,295966
174,811-70-8949,01/01/2023,625000
175,289-99-3785,05/09/2021,933034
176,525-74-7532,09/16/2021,570270
177,181-35-6165,09/26/2021,53436
178,609-12-0501,03/01/2022,645719
179,390-81-9573,06/24/2022,151939
180,249-71-4450,05/02/2022,126851
181,438-60-4856,04/14/2021,151701
182,479-52-5821,02/26/2022,402551
183,174-69-4498,02/04/2023,911962
184,565-38-0301,04/23/2022,959700
185,593-46-0079,08/10/2023,315777
186,497-03-8445,02/21/2023,836568
187,104-84-6181,03/06/2023,265327
188,114-05-8760,12/14/2021,423881
189,227-59-4862,06/25/2022,956971
190,519-93-4142,12/07/2022,594568
191,370-47-3017,03/13/2022,203486
192,486-52-4886,10/31/2022,724694
193,420-69-7404,12/01/2020,181003
194,370-96-9469,10/20/2023,955895
195,615-51-5200,02/10/2023,367743
196,191-69-4651,01/20/2023,348715
197,537-27-0682,08/26/2021,369050
198,296-55-0636,01/22/2023,462223
199,643-29-1115,12/17/2020,985004
200,350-56-9717,12/12/2020,625968
201,448-50-1984,06/22/2022,132434
202,627-18-8996,09/13/2021,860235
203,255-87-1586,12/24/2022,685446
204,887-70-9042,02/25/2021,687560
205,139-62-9351,06/17/2021,177001
206,404-67-0263,07/11/2023,238976
207,580-14-4015,07/07/2023,278613
208,107-38-3780,12/25/2022,149472
209,787-43-3140,01/31/2021,754143
210,448-56-7140,03/14/2021,861854
211,143-99-0296,12/17/2021,717171
212,820-90-1256,11/18/2023,965131
213,474-16-6697,03/07/2021,789768
214,539-56-5864,01/17/2023,823947
215,768-98-7738,10/07/2022,891046
216,564-03-8058,08/14/2021,55323
217,558-98-1053,02/03/2021,884081
218,879-18-6901,10/02/2021,276598
219,711-49-5679,07/28/2022,342909
220,825-06-8372,03/09/2021,352318
221,526-03-5795,01/20/2021,157629
222,408-20-6014,01/12/2022,823454
223,268-67-4299,04/14/2022,508264
224,641-92-9838,04/27/2022,567183
225,472-99-7328,03/22/2021,879847
226,401-66-7947,09/06/2023,264524
227,899-79-6364,05/24/2023,515565
228,221-65-5672,08/15/2021,473489
229,480-57-9611,07/30/2022,61837
230,274-96-5349,04/15/2023,845065
231,321-43-7976,01/27/2021,556856
232,393-01-9600,06/04/2022,211788
233,479-81-4973,09/01/2021,823606
234,891-77-9455,12/05/2021,608359
235,746-19-4723,12/08/2020,526284
236,672-31-3924,11/16/2021,71208
237,230-05-7187,08/24/2022,677537
238,241-69-9593,10/23/2021,996706
239,493-64-4025,02/13/2021,581072
240,202-62-7364,12/08/2020,554003
241,535-28-1965,05/06/2023,905946
242,277-81-0488,09/21/2022,175925
243,673-69-2908,08/07/2022,266088
244,751-90-6859,04/06/2023,893708
245,622-89-0696,06/20/2021,165415
246,852-62-1374,04/05/2021,965025
247,495-60-5381,02/20/2021,967833
248,211-11-3465,01/14/2022,224190
249,634-65-3201,09/27/2023,365195
250,146-43-7369,06/18/2022,367899
251,600-48-1684,10/05/2021,570656
252,525-03-9850,12/20/2020,566036
253,590-75-1017,07/13/2022,854072
254,648-28-9617,04/01/2021,507153
255,721-97-3729,04/18/2023,550702
256,296-05-2820,06/07/2022,556487
257,255-54-0411,10/25/2021,219597
258,547-32-6524,04/02/2022,225495
259,554-36-3039,10/14/2023,547383
260,347-18-7339,02/09/2021,347368
261,386-47-9048,06/11/2021,559012
262,811-75-5536,02/17/2022,146604
263,274-55-6919,09/21/2023,943581
264,833-25-8295,02/15/2021,392821
265,443-91-6679,05/08/2022,309873
266,128-86-6634,05/03/2021,696735
267,697-20-6029,02/18/2022,451089
268,199-52-0461,11/19/2022,929532
