id,snn,first_name,last_name,phone_number,gender,age,diagnosis_code
1,341-70-0823,Broderic,Chastney,837-487-2354,Male,32,T462X
2,348-11-6286,Bourke,Batchelder,994-936-9188,Male,73,S63234
3,694-43-9549,Leighton,O'Dunniom,628-468-8490,Male,37,M05752
4,120-68-9703,Taddeusz,Banck,644-705-2254,Male,0,M84669D
5,856-71-5455,Kalindi,Krojn,920-421-6724,Female,51,S92102P
6,888-71-1608,Magnum,Ranyelld,904-690-3309,Male,33,V462XXS
7,242-66-4079,Bev,Altimas,991-980-6100,Female,85,Q6474
8,384-42-4065,Irwin,Sanchis,939-361-6925,Male,4,T512X1A
9,762-55-7984,Iver,Sambidge,454-217-8729,Male,78,V4371
10,202-86-2824,Keelby,Olsen,825-254-1390,Male,101,A981
11,167-41-9537,Frasquito,Rosenshine,751-119-8715,Male,84,V4321XD
12,375-10-3137,Elena,Crolly,996-965-7685,Female,84,S22060G
13,753-57-2582,Sybyl,Garber,591-379-1512,Genderfluid,71,S35331S
14,879-34-7807,Abbott,Cummins,911-885-0507,Male,87,V551XXA
15,294-98-1343,Quintilla,Row,641-890-1337,Female,13,S82144R
16,304-97-2888,Prissie,Bodleigh,693-599-6915,Female,76,P291
17,594-54-5539,Ashia,Kettlesting,746-691-6435,Agender,14,R920
18,770-58-0097,Wini,Sanson,260-730-5112,Female,82,S21001A
19,259-21-7109,Tarrance,Shorthouse,284-974-3583,Male,72,H70819
20,435-76-3336,Greer,Crann,658-463-3282,Female,95,V2940XA
21,253-23-2508,Teddie,Yankeev,411-464-2475,Male,3,H02736
22,634-37-1322,Alyce,Dryburgh,500-747-0721,Female,109,S31112A
23,713-14-8758,Eve,Tryhorn,801-103-3694,Female,54,T404
24,118-59-3367,Terri,Gulvin,365-501-5790,Male,10,T5813XA
25,770-13-4714,Dorine,Leband,702-765-2253,Genderqueer,7,S31031D
26,825-01-6347,Alonzo,Jachimczak,334-212-8735,Male,102,V722XXA
27,226-03-3098,Arleta,Bottomer,524-140-0844,Female,67,S72301R
28,174-20-0096,Adelle,Fakes,293-936-9211,Female,69,T63823A
29,241-36-2521,Jorge,Leggate,441-204-1435,Male,22,A710
30,116-81-6811,Ivie,Eley,733-503-8619,Female,4,V103
31,138-26-5344,Patrizia,Duxbarry,615-431-7240,Female,29,S93513A
32,760-06-6007,Derby,Buckby,927-920-4766,Male,15,S65501
33,353-50-3031,Gerrie,Snare,261-140-8472,Female,66,S63012A
34,850-91-0885,Ewen,McNiven,626-688-6164,Male,63,S12251
35,740-55-6151,Jami,Budik,106-780-7959,Agender,100,T670XXS
36,876-02-0231,Paulita,MacGahey,283-219-5972,Female,4,I60
37,659-32-0431,Martyn,Aberkirdo,790-962-8702,Male,27,Q731
38,685-48-3794,Matias,Kurth,202-774-6257,Male,97,S92316
39,630-73-3630,Blinnie,Mawne,647-789-3227,Female,58,A5209
40,413-04-8143,Kristan,Bessett,817-313-7393,Female,12,V9309
41,798-34-6370,Batholomew,Peirson,133-123-7195,Male,44,S81831A
42,729-86-3726,Feliza,Kernar,287-747-8365,Female,18,S20312D
43,655-48-5312,Shelley,Scarborough,999-709-7109,Male,58,S66912D
44,517-45-0714,Locke,Keattch,629-367-7382,Male,43,Z09
45,222-48-5667,Cyrill,Holworth,123-398-5666,Male,70,Z052
46,778-88-8587,Antons,Eastbrook,833-789-4875,Male,101,Q7202
47,430-46-6688,Val,Streeten,336-193-9922,Male,79,S52231M
48,229-45-9798,Cecilla,Pickthall,123-427-9141,Female,38,G4489
49,582-03-9385,Lea,Catlin,392-270-5338,Female,2,S89209A
50,487-96-8312,Solomon,Stearn,164-144-6484,Male,98,F1990
51,384-08-5294,Goldarina,Nunn,592-661-6994,Female,106,I61
