id,snn,first_name,last_name,phone_number,gender,age,diagnosis_code
1,343-45-1048,Euphemia,Bendson,238-702-7037,Female,108,R40222
2,206-66-4705,Davita,Readings,234-647-7209,Female,95,D3141
3,856-43-0568,Walsh,Obispo,293-968-7856,Male,87,Y92812
4,468-88-2629,Addi,Hanscom,401-920-6476,Female,107,S62331G
5,419-05-1632,Cris,Shipp,820-652-9224,Male,101,S12491B
6,163-85-6959,Humfrey,Gehringer,139-868-6965,Male,43,D2261
7,271-02-6837,Leila,Gair,800-615-4564,Female,85,S62201B
8,871-51-6985,Emmi,Uman,514-333-6028,Agender,84,S2044
9,537-52-4314,Ronna,Loveard,217-866-9510,Female,21,S52541B
10,298-92-2761,Alice,Claisse,774-270-8442,Female,61,S2223XA
11,230-38-7688,Giffer,Berthome,720-583-9122,Male,33,C50419
12,337-01-8017,Dougie,Pund,612-841-3588,Male,87,V394
13,338-03-1856,Berkly,Yeld,141-696-9236,Male,36,T23571S
14,831-90-1552,Gail,Lowless,435-824-5148,Male,2,I018
15,519-92-6253,Paten,Ewell,605-204-7934,Polygender,93,O24019
16,347-86-9282,Agna,Kellog,408-439-6123,Female,13,T83192S
17,692-26-9851,Alleen,Spear,326-525-1138,Female,60,T63311S
18,249-71-5836,Linn,Duhig,129-152-5968,Male,31,T276
19,460-13-4668,Baudoin,Boulger,651-588-7281,Bigender,107,T65223A
20,359-46-6825,Suzanna,Ebbutt,148-218-5790,Female,9,X923XXA
21,699-26-0778,Riccardo,Pauleau,774-846-8748,Male,53,S62343S
22,523-58-0041,Ara,Hethron,582-230-0528,Male,4,S4350XA
23,333-19-2574,Bobbie,Ingamells,639-398-6508,Female,111,T394X1S
24,251-48-0755,Koralle,Courtes,189-797-1537,Female,89,S52026M
25,333-89-4190,Kerrin,Bortolazzi,978-968-8539,Female,69,T477X6D
26,511-83-0993,Lev,Akitt,774-146-4432,Male,106,F1524
27,836-64-9457,Cos,Denne,649-852-3959,Male,9,T512X3S
28,444-65-2282,Nissie,O'Heagertie,775-698-2455,Female,12,S50359A
29,310-81-4207,Linell,Allden,122-919-6902,Female,50,T448X1D
30,576-38-6388,Prentice,O'Scollain,464-610-2904,Male,85,S30864
31,246-65-9405,Elliot,Shailer,325-699-2548,Male,51,S82875A
32,272-64-5141,James,Barr,751-169-8026,Male,25,W131XXD
33,740-33-6235,Leigha,Sidnell,799-192-5362,Bigender,65,S61019
34,872-98-3064,Stillmann,Ygo,331-768-8450,Male,60,T81527A
35,755-66-0340,Sauncho,Hattersley,424-384-5118,Male,34,O3103X1
36,760-90-4697,Edith,Allanson,614-238-6006,Female,64,S42256A
37,212-21-8975,Meghan,Wilde,150-533-1965,Female,3,S52282A
38,284-19-3192,Ivan,Berthot,666-820-0810,Male,14,M25149
39,611-18-5478,Amitie,Graveson,418-130-2292,Agender,86,H70819
40,108-35-4749,Caesar,Lent,197-850-4974,Male,60,M4844XA
