id,snn,first_name,last_name,phone_number,gender,age,diagnosis_code
1,762-31-0220,Sergei,Lots,176-787-8400,Male,95,M4154
2,414-88-0362,Marcello,Burdett,460-804-8228,Male,74,S72024N
3,715-25-4484,Stella,Pietri,512-581-9048,Female,92,M25732
4,116-27-5443,Dru,Mincher,568-651-2737,Female,94,Z84
5,395-23-6344,Trudey,Charley,310-976-4232,Female,40,S0240BD
6,622-06-3491,Aldo,Lerwell,813-996-2100,Male,38,Y25XXXD
7,832-56-6746,Eal,Colleer,137-713-2183,Male,119,T8685
8,161-46-1023,Dermot,Iuorio,323-852-9101,Male,7,T65293A
9,425-14-5053,Ramsey,Bridson,810-766-7940,Male,98,S83221D
10,724-55-7108,Joby,Cornwell,310-796-5705,Female,77,R9349
11,834-70-7655,Adan,Dymoke,272-672-1126,Female,39,V537XXD
12,169-16-0162,Marnie,Lamartine,528-658-5968,Female,57,Y74
13,329-17-0628,Sharleen,Borchardt,991-942-2797,Female,8,S92531
14,788-06-6488,Cordula,Hogbourne,679-632-8150,Female,16,B719
15,660-48-2094,Morlee,Jobin,988-599-1055,Male,63,G43911
16,461-32-5972,Titos,Chadbourne,390-368-5992,Male,98,V9006XD
17,121-55-7610,Ted,Alpin,543-705-0995,Male,114,T45526
18,380-95-9252,Jacklyn,Winfred,667-490-6239,Female,91,V3900XD
19,740-36-8740,Crystie,Varne,474-140-1913,Female,37,S82399E
20,451-51-2411,Mandie,Swayne,782-167-6326,Female,113,S63331S
21,429-14-6566,Gregory,Madeley,319-452-3851,Male,25,S72464B
22,207-60-2577,Oran,Iacovides,224-607-4321,Male,43,S0240DG
23,610-16-0455,Johnath,Jentzsch,804-158-9307,Female,69,R601
24,632-27-6889,Leif,Trank,668-573-9943,Male,61,M4157
25,344-52-7187,Laverne,Solon,578-689-6864,Female,110,F14159
26,123-73-9805,Tab,Forestel,896-950-7300,Male,14,T28919A
27,125-22-3576,Spense,McKeating,275-288-8505,Male,6,S92152K
28,565-53-0004,Frasquito,Eyeington,790-528-3340,Male,22,S8530
29,472-48-5812,Annis,Bwye,766-176-1042,Female,84,T2141XD
30,365-91-9803,Jordan,Ollerearnshaw,857-462-8762,Female,24,S82246G
31,618-43-7797,Berry,Higginbottam,259-354-3875,Female,63,M84639P
32,605-27-2589,Iosep,Bangley,698-678-3045,Male,116,S89302A
33,622-50-7964,Alair,Bedson,951-781-3647,Male,31,E0944
34,609-70-4193,Iolande,Sitlington,679-841-3851,Female,19,Y35022
35,372-06-5107,Elyn,Top,305-112-5775,Female,17,T3791XA
36,671-07-2962,Valerie,Krzyzowski,180-715-9988,Female,3,V709XXS
37,738-62-9203,Ynez,Woodbridge,479-916-7752,Female,1,M2639
38,335-94-5270,Lennie,Jewett,842-429-8451,Male,60,S92506P
39,872-46-3556,Birgit,Daborne,186-861-5029,Female,47,S66009
40,143-51-0802,Alden,Caruth,228-430-0087,Male,111,S52389G
41,190-22-1782,Suzie,McCrory,412-310-2523,Female,13,S52299G
42,412-13-2432,Carrie,Phinnis,616-523-0176,Female,103,E618
43,141-35-0799,Iris,Dandison,716-379-9459,Female,32,Z436
44,619-37-5721,Hazlett,Seggie,272-785-2175,Male,1,V122XXA
45,541-78-1885,Errol,Bothwell,697-323-7531,Male,103,A6923
46,839-83-8933,Corena,Tirte,224-557-6342,Female,110,Y374
47,281-74-9812,Daile,Cicetti,516-885-3198,Female,11,S37422A
48,108-93-1304,Camille,Steptowe,845-251-0503,Female,98,S61522
49,484-37-2801,Leslie,Crehan,864-529-8455,Male,29,H042
50,379-06-4559,Mark,Gammill,422-652-3098,Male,68,T2125
51,420-23-4795,Ellis,Halfhide,579-411-9301,Polygender,78,M84871
52,405-93-9785,Robinetta,Giddings,315-707-4957,Female,99,K7010
53,508-94-6095,Belita,Clarey,537-541-6868,Female,35,T360X5
54,118-78-3702,Briny,Huckle,454-400-9091,Female,30,M0800
55,684-70-5138,Miof mela,Golightly,957-298-4387,Female,8,S62166P
56,748-92-7479,Florian,Kidby,940-428-3461,Male,60,S63124S
57,392-23-6402,Ellen,Ivasechko,662-572-5185,Female,111,S92023B
58,860-69-0493,Grayce,Infantino,179-466-6679,Female,95,S72114D
59,102-65-5413,Klement,Ruos,349-596-8619,Male,96,H53431
60,120-76-8649,Tobe,Dekeyser,282-835-0677,Female,38,S52035B
61,460-27-1629,Laurella,Hunnisett,901-524-6423,Female,74,V516XXD
62,544-12-0521,Kaycee,Garnsworthy,552-521-1741,Female,40,M8788
63,382-60-6936,Kelwin,Reed,176-678-0187,Male,64,S82209F
64,600-49-2637,Ansell,Gouldsmith,926-445-3818,Male,82,H8131
65,393-95-1367,Gannon,Dittson,154-350-7506,Male,99,E891
66,278-87-7852,Amitie,Bramsen,863-321-3085,Female,27,T588X3D
67,594-03-6199,Corilla,Rivelon,978-659-2325,Female,51,S31131S
68,758-06-5032,Danny,Blackaller,841-168-2721,Male,34,S53412A
69,353-81-3631,Royal,O'Sullivan,220-723-8311,Male,117,O4413
70,174-22-5197,Frans,Gerrett,118-542-5491,Male,6,S72136G
71,457-69-5202,Lay,Melbert,618-977-2129,Male,75,S52312P
72,520-57-2660,Aubree,Rodge,364-133-3625,Female,30,S31135D
73,759-34-5700,Early,Siemons,212-535-6211,Male,12,H18891
74,305-24-8419,Madelina,Kiraly,258-668-2061,Female,55,V0082
75,575-56-1775,Norene,Woodrow,257-428-6856,Female,10,S82876C
76,417-24-0752,Guss,Gartan,573-771-9469,Male,114,L02412
77,837-73-7521,Mariele,Veneur,697-207-3927,Female,21,S76991
78,158-23-4563,Stanley,O'Dare,427-675-7676,Male,115,Y36461A
79,853-64-2186,Gawain,Cuckson,149-923-1670,Male,45,G408
80,394-75-7713,Gregorius,Trawin,605-483-3029,Male,44,S92246A
81,377-08-4210,Lilyan,Doiley,515-810-6079,Female,102,M89164
82,846-24-3289,Leonid,Deering,861-617-4809,Male,24,M9211
