id,snn,first_name,last_name,phone_number,gender,diagnosis_code
1,891-70-7395,Madelaine,Tinline,721-389-1522,Female,T85318S
2,117-31-2371,Emmanuel,Germaine,449-692-7934,Agender,Y3520
3,293-14-2255,Berke,Connechy,406-173-7213,Male,S204
4,485-69-9033,Caril,Feehely,973-304-5374,Female,S95009S
5,276-63-0753,Germain,Brigginshaw,203-280-3992,Male,S63422A
6,740-02-7205,Aaron,Busch,358-491-4269,Male,K0532
7,387-70-6235,Andi,Tremblot,329-928-1184,Female,W4903XA
8,156-83-1881,Anthe,McTeague,274-243-7328,Polygender,T43592
9,854-55-4010,Elsbeth,Elmhirst,378-566-4901,Female,H44713
10,435-46-0366,Zack,McGeachie,293-171-6704,Male,V0300
11,279-60-5893,Aleen,Lace,509-970-4184,Female,H3535
12,175-91-9785,Tracy,Piercy,169-710-4905,Female,M86659
13,366-79-6935,Paxon,Stable,412-287-1046,Male,S46302
14,394-62-9299,Miquela,Hannaby,611-734-8145,Female,Q453
15,858-06-2037,Casi,Hellier,480-233-2431,Female,W130XXS
16,327-50-3656,Yovonnda,Carbine,633-400-3031,Female,X014XXD
17,403-80-2374,Arv,Tomisch,182-839-1834,Male,S62638B
18,561-01-9239,Hertha,Kidde,314-724-4441,Agender,D630
19,635-17-3595,Russ,Braycotton,477-378-6425,Male,M1464
20,502-34-4870,Adriane,Surmeir,332-335-7252,Female,O300
21,447-15-7874,Pearline,Baudi,807-449-7712,Female,S549
22,893-46-5014,Dyane,Burgis,706-663-4930,Female,S90454A
23,427-12-7317,Davie,O'Dwyer,470-529-8996,Male,S85991S
24,483-92-3343,Lacee,Shovel,747-719-4922,Agender,T458X5S
25,523-11-2310,Mischa,Salkeld,873-115-6169,Male,S5101
26,605-34-6543,Celisse,Luscott,999-604-0417,Female,T628X3A
27,489-48-2531,Xerxes,Chisholm,570-361-1052,Male,S0085XS
28,153-75-9025,Sammie,Dougharty,428-169-4804,Male,T365X1
29,549-68-2833,Cybil,Jiracek,178-757-4953,Agender,C4372
30,348-79-0466,Base,St. Quentin,425-182-6999,Male,E10341
31,383-82-9278,Polly,Tredwell,659-832-8628,Female,S42035
32,869-80-7980,Corbin,Colten,826-193-7075,Genderqueer,H21351
33,643-48-5316,Francesco,Palk,319-753-5268,Polygender,K5010
34,496-47-9831,Siusan,Desesquelle,204-600-1241,Female,H15813
35,815-34-6879,Guido,Matteo,723-274-4951,Male,S53031S
36,379-57-1422,Had,Dunstan,471-149-1784,Male,S32018B
