id,snn,first_name,last_name,phone_number,gender,age,diagnosis_code
1,144-55-9986,Almira,Dee,725-708-9133,Female,19,S38221S
2,269-13-1106,Caritta,Unwins,154-130-0689,Female,45,H341
3,679-77-2446,Kaile,Abrahart,980-826-1714,Female,67,I468
4,712-75-0134,Pascal,Toquet,514-149-5577,Male,68,F40
5,198-62-3790,Rory,Zannelli,377-461-6730,Male,48,S72044C
6,170-02-3154,Bendick,Diprose,130-968-5507,Male,53,D299
7,421-04-2170,Marie,De Ambrosis,263-826-0030,Female,44,T38891D
8,731-48-6917,Patin,Melsome,806-864-7756,Male,50,Z42
9,809-25-6248,Ellsworth,Brabbs,851-784-4882,Male,42,W108XXD
10,405-22-4127,Marie-ann,Poundford,589-302-6840,Female,54,M66351
11,103-87-0625,Guntar,Marzella,681-224-3476,Agender,52,T24709D
12,276-32-7118,Olin,Rawlingson,957-276-1618,Male,44,S42494A
13,225-50-4853,Lindy,Southon,347-456-9370,Male,37,S61359
14,471-09-7299,Wesley,Andrivel,368-501-4304,Male,23,I63523
15,274-07-7174,Farley,Handover,807-522-1505,Male,41,S52232Q
16,634-83-2843,Maddy,Comerford,829-628-1357,Female,25,Q140
17,502-04-3567,Nefen,Frake,508-629-3381,Male,40,S82033N
18,372-19-6627,Serena,Tilston,615-622-4618,Female,54,S82465Q
19,573-64-2426,Amye,Coldridge,804-859-8221,Female,45,G43C0
20,371-21-9579,Hakim,McElwee,888-322-9928,Male,51,H5942
21,351-98-2966,Salomo,Eastgate,440-397-2094,Male,69,K500
22,842-54-0149,Chere,Fendlen,405-309-5406,Female,39,V750XXA
23,686-34-4326,Corri,Dand,149-220-2558,Female,20,S5314
24,702-17-3154,Binnie,Di Dello,176-698-2303,Polygender,63,T34522A
25,845-86-3909,Jammal,Skule,389-443-5331,Male,52,S3205
26,321-19-6349,Xever,Supple,604-921-2731,Male,39,S63202A
27,885-32-0035,Irma,Ragge,945-906-5342,Female,21,M1A43
28,417-42-5984,Milena,Cockings,855-244-5505,Female,56,S30811D
29,767-40-8504,Anthony,Batters,149-506-3299,Male,37,T83411D
30,763-96-8209,Carroll,Lightowler,810-868-6095,Male,50,S91144D
31,341-63-9544,Kenton,Harrowsmith,463-583-7287,Male,27,L02811
32,203-13-3035,Catriona,Neeson,489-958-6119,Female,27,S59249K
33,500-55-8605,Brice,Tench,822-551-1934,Male,73,S62501K
34,488-51-5762,Darlleen,Brimson,989-774-3767,Female,39,S60512A
35,315-05-1501,Barri,Nodes,611-299-6200,Bigender,58,S2320XA
36,808-29-2357,Monroe,Vaisey,966-919-1743,Male,51,S32032K
37,593-28-5109,Arabele,Bedward,945-917-5197,Female,67,S91244
38,515-20-4499,Odey,Dews,293-145-4370,Genderqueer,49,S99009D
39,511-78-4131,Augustine,Dwane,309-169-6007,Male,64,M0540
40,241-63-9626,Rubia,Futter,132-926-4878,Female,56,S99242G
