id,snn,first_name,last_name,phone_number,gender,age,diagnosis_code
1,788-42-5198,Denys,Kimmerling,624-349-3719,Female,50,S92051K
2,285-08-7905,Pippo,Boncore,684-175-0533,Male,69,S23428A
3,227-12-3563,Jenine,Reyburn,314-397-0055,Female,67,H2621
4,241-90-6438,Vasilis,Beentjes,547-735-2733,Polygender,30,S82399H
5,484-18-9723,Robby,Sumpton,789-138-9452,Male,98,S63294S
6,683-43-4913,Filip,Casol,481-230-8042,Male,116,S85291A
7,369-19-1069,Marcellus,Falkous,226-596-4043,Male,56,S82432J
8,669-04-8882,Zaccaria,Paddington,770-993-8579,Male,104,S7599
9,296-86-9736,Tamarra,Reagan,672-967-7398,Female,5,T23042A
10,364-99-7772,Dev,Jerome,809-397-0253,Male,55,D171
11,512-95-9708,Katlin,Hitscher,494-185-8509,Female,12,S01522D
12,145-70-9716,Rivalee,Boxhall,527-119-5462,Female,29,H8103
13,440-36-2801,Wald,Buterton,614-953-7724,Male,58,T7807XD
14,863-03-5405,Germaine,Messom,489-911-6598,Female,26,S62226D
15,113-35-3085,Philis,Seeborne,357-824-3429,Genderqueer,86,I70618
16,516-50-8311,Theobald,Ovenell,205-985-5211,Male,110,N4881
17,643-73-8662,Kristos,Spinage,477-407-6536,Non-binary,91,Y37330A
18,610-98-8187,Eliot,Clemas,287-758-7627,Male,27,T543X4S
19,633-28-0256,Joice,O' Borne,720-949-3289,Female,17,M533
20,529-26-0932,Scarface,Videler,538-700-5963,Male,119,O741
21,494-35-4967,Jan,Rushbrook,774-334-7965,Female,70,V653XXA
22,595-51-9700,Christy,Bisatt,137-348-6503,Genderqueer,102,S76999S
23,824-60-9806,Alexis,Huitson,428-334-1053,Female,60,S62338K
24,107-56-8974,Irwinn,Szymon,586-196-8834,Male,28,S66195D
25,632-37-6452,Orbadiah,Stronghill,293-514-0715,Male,42,S93315S
26,851-31-2524,Constantino,MacKee,141-630-5154,Male,93,S22061B
27,142-25-1235,Misti,Beeston,374-592-7652,Female,90,T85838S
28,221-84-5923,Evelyn,Glassford,986-119-1675,Male,68,S13140A
29,898-07-8729,Paul,Gowrie,287-556-6356,Male,109,V9016XA
30,505-22-2272,Isadora,Schulken,199-923-8222,Non-binary,35,T782XXD
31,667-13-1376,Viviene,Carrigan,812-616-8079,Female,89,V0399XS
32,834-14-0105,Gladi,Pleming,254-419-2177,Female,80,O41123
33,514-99-6762,Mikael,Minard,979-317-3287,Male,95,S46321A
34,783-26-3752,Winfield,Sibthorpe,348-538-9129,Male,102,S52234B
35,513-39-9139,Raffarty,Buckell,679-708-6585,Male,93,T824
36,740-18-1778,Shayne,Wolseley,480-289-8351,Female,78,S32444K
37,686-23-7429,Marika,Kiossel,291-453-4680,Genderqueer,113,S240XXA
38,557-26-2616,Thain,Peddie,552-419-8430,Male,111,T23449A
39,299-99-2658,Basilio,Babcock,416-387-7105,Male,86,S80822
40,743-80-5067,Lynnet,Truran,304-432-7139,Female,40,S60369D
41,718-06-9679,Imogen,Willgoose,848-770-0215,Female,112,T561X2D
42,842-72-9495,Brita,Domone,339-135-1994,Genderqueer,43,S64493A
43,452-71-7952,Zed,Greenless,986-798-2603,Male,21,S13151A
44,274-36-0968,Cosimo,Winfield,432-102-6158,Male,13,T4271XS
45,668-36-8198,Brina,Meggison,717-122-2702,Female,25,T71112A
