id,snn,first_name,last_name,phone_number,gender,diagnosis_code
1,144-55-9986,Almira,Dee,725-708-9133,Female,S38221S
2,269-13-1106,Caritta,Unwins,154-130-0689,Female,H341
3,679-77-2446,Kaile,Abrahart,980-826-1714,Female,I468
4,712-75-0134,Pascal,Toquet,514-149-5577,Male,F40
5,198-62-3790,Rory,Zannelli,377-461-6730,Male,S72044C
6,170-02-3154,Bendick,Diprose,130-968-5507,Male,D299
7,421-04-2170,Marie,De Ambrosis,263-826-0030,Female,T38891D
8,731-48-6917,Patin,Melsome,806-864-7756,Male,Z42
9,809-25-6248,Ellsworth,Brabbs,851-784-4882,Male,W108XXD
10,405-22-4127,Marie-ann,Poundford,589-302-6840,Female,M66351
11,103-87-0625,Guntar,Marzella,681-224-3476,Agender,T24709D
12,276-32-7118,Olin,Rawlingson,957-276-1618,Male,S42494A
13,225-50-4853,Lindy,Southon,347-456-9370,Male,S61359
14,471-09-7299,Wesley,Andrivel,368-501-4304,Male,I63523
15,274-07-7174,Farley,Handover,807-522-1505,Male,S52232Q
16,634-83-2843,Maddy,Comerford,829-628-1357,Female,Q140
17,502-04-3567,Nefen,Frake,508-629-3381,Male,S82033N
18,372-19-6627,Serena,Tilston,615-622-4618,Female,S82465Q
19,573-64-2426,Amye,Coldridge,804-859-8221,Female,G43C0
20,371-21-9579,Hakim,McElwee,888-322-9928,Male,H5942
21,351-98-2966,Salomo,Eastgate,440-397-2094,Male,K500
22,842-54-0149,Chere,Fendlen,405-309-5406,Female,V750XXA
23,686-34-4326,Corri,Dand,149-220-2558,Female,S5314
24,702-17-3154,Binnie,Di Dello,176-698-2303,Polygender,T34522A
25,845-86-3909,Jammal,Skule,389-443-5331,Male,S3205
26,321-19-6349,Xever,Supple,604-921-2731,Male,S63202A
27,885-32-0035,Irma,Ragge,945-906-5342,Female,M1A43
28,417-42-5984,Milena,Cockings,855-244-5505,Female,S30811D
29,767-40-8504,Anthony,Batters,149-506-3299,Male,T83411D
30,763-96-8209,Carroll,Lightowler,810-868-6095,Male,S91144D
31,341-63-9544,Kenton,Harrowsmith,463-583-7287,Male,L02811
32,203-13-3035,Catriona,Neeson,489-958-6119,Female,S59249K
33,500-55-8605,Brice,Tench,822-551-1934,Male,S62501K
34,488-51-5762,Darlleen,Brimson,989-774-3767,Female,S60512A
35,315-05-1501,Barri,Nodes,611-299-6200,Bigender,S2320XA
36,808-29-2357,Monroe,Vaisey,966-919-1743,Male,S32032K
37,593-28-5109,Arabele,Bedward,945-917-5197,Female,S91244
38,515-20-4499,Odey,Dews,293-145-4370,Genderqueer,S99009D
39,511-78-4131,Augustine,Dwane,309-169-6007,Male,M0540
40,241-63-9626,Rubia,Futter,132-926-4878,Female,S99242G
41,736-70-4921,Gearard,Harness,995-649-1411,Male,T17420D
42,526-89-4940,Genia,MacGown,124-772-8255,Female,S86201
43,436-61-1976,Burgess,Moorerud,265-530-0425,Agender,S52366K
44,425-45-2285,Zelda,Jenking,621-170-9633,Female,O356XX4
45,588-54-5424,Neda,Roderigo,228-505-2610,Female,S63301A
46,860-19-5482,Serene,Mabbett,650-928-8484,Female,V282XXA
47,160-20-9088,Kristyn,Rase,733-285-8708,Female,M05671
48,156-38-8104,Blisse,Issard,907-588-0994,Female,D6851
49,798-98-3459,Demetris,Castelin,843-106-0186,Male,S52321D
50,772-50-6617,Rosmunda,Wilderspoon,690-846-4205,Female,S12630
51,444-54-8936,Kimbra,Deeves,690-773-6528,Female,S8781XD
52,262-23-7911,Marika,Klemps,969-597-0103,Female,S61429D
53,713-19-9985,Herschel,Fredson,737-265-8732,Male,Z483
54,654-52-9098,Ode,Jayes,278-439-1194,Male,S02119D
55,151-31-6047,Jenny,Farnaby,793-982-4196,Female,S91102
56,209-32-2732,Clayborn,Blann,590-593-9709,Male,M89164
57,842-99-0427,Daveta,Dalmon,894-853-8157,Female,Y35011A
58,840-93-1402,Leah,Mitford,261-660-5444,Female,S82223Q
59,250-67-6665,Burch,Eales,859-211-6611,Male,R5084
60,231-91-8558,Trueman,Crollman,174-914-8560,Male,S62225K
61,648-98-0824,Mitchael,Brookz,317-805-9233,Male,O4412
62,502-19-2010,Bernardine,Cosbee,190-854-5454,Female,S72353C
63,853-86-4143,Casper,Knyvett,626-107-6802,Male,T45616D
64,220-02-3366,Collete,Layland,256-717-2943,Female,M2330
65,378-92-1417,Anestassia,Manilove,864-849-7453,Female,F601
66,123-45-8027,Orton,Thiolier,696-689-6741,Male,T82221A
67,603-96-4334,Donovan,Mumbeson,494-566-0701,Male,I70262
68,791-39-2375,Freemon,Curm,847-108-6655,Male,P27
69,148-93-0281,Eilis,Greenaway,329-218-0818,Female,S62306G
70,200-07-7241,Lowe,Washington,224-922-5510,Male,T8069
71,564-48-7452,Caresa,Whiteman,628-551-3901,Female,T463X2A
72,137-15-6847,Kyla,Fitzjohn,627-481-6313,Female,S32492
73,260-72-2124,Kingston,Camous,711-458-2034,Male,T457X1S
74,152-77-1466,Claudius,Colgan,645-159-3121,Male,S48912S
75,482-86-1612,Elwood,Miners,147-283-1827,Male,D2322
76,353-44-8329,Granville,Shoreson,550-762-7015,Male,S82192M
77,107-77-1962,Vladimir,Hinrichs,139-963-9461,Male,S20322S
78,721-19-4200,Fedora,Coleford,943-243-5170,Female,H18602
79,272-43-7252,Avril,Beeswing,136-774-1338,Genderqueer,Y383
80,369-01-0845,Clarance,Berisford,545-389-5931,Male,S88929A
81,729-82-1779,Sylvan,Margram,721-683-7615,Agender,R4581
82,357-23-5813,Torry,Kolakowski,193-551-7044,Polygender,S62647B
83,846-27-0040,Martynne,Pitkeathley,728-846-5811,Female,S21301
84,362-63-8959,Jefferson,Kardos-Stowe,543-661-9736,Male,V4362
85,670-06-8902,Jedediah,Conkay,146-315-7707,Male,M33
86,598-28-0125,Raymond,Clemens,725-801-2197,Polygender,E779
87,369-55-4653,Kelcey,Hulles,943-680-4925,Female,M05251
88,115-59-5074,Rancell,Gillease,105-384-1861,Male,S82191H
